test_case,call_number,latency_seconds
1,1,0.058474063873291016
1,2,0.052017927169799805
1,3,0.051072120666503906
1,4,0.050698280334472656
1,5,0.050824880599975586
1,6,0.05390501022338867
1,7,0.055074214935302734
1,8,0.05699872970581055
1,9,0.052381038665771484
1,10,0.05481767654418945
1,11,0.059616804122924805
1,12,0.05749821662902832
1,13,0.05396103858947754
1,14,0.0528717041015625
1,15,0.055007219314575195
1,16,0.05314993858337402
1,17,0.05485701560974121
1,18,0.05549454689025879
1,19,0.057115793228149414
1,20,0.053984642028808594
1,21,0.052847862243652344
1,22,0.05828261375427246
1,23,0.05400872230529785
1,24,0.04923248291015625
1,25,0.04888439178466797
1,26,0.05028724670410156
1,27,0.05520510673522949
1,28,0.05501413345336914
1,29,0.05694079399108887
1,30,0.05831789970397949
1,31,0.0595088005065918
1,32,0.056870460510253906
1,33,0.052979469299316406
1,34,0.054419517517089844
1,35,0.04902362823486328
1,36,0.05100369453430176
1,37,0.04990029335021973
1,38,0.056392669677734375
1,39,0.05668830871582031
1,40,0.05424094200134277
1,41,0.04998159408569336
1,42,0.05150127410888672
1,43,0.048642873764038086
1,44,0.053519248962402344
1,45,0.054288625717163086
1,46,0.051332950592041016
1,47,0.051401615142822266
1,48,0.05795907974243164
1,49,0.0569758415222168
1,50,0.05306506156921387
1,51,0.052704811096191406
1,52,0.052069902420043945
1,53,0.04932594299316406
1,54,0.055715084075927734
1,55,0.0543818473815918
1,56,0.058762550354003906
1,57,0.06260037422180176
1,58,0.06632685661315918
1,59,0.05281877517700195
1,60,0.05266976356506348
1,61,0.0491185188293457
1,62,0.050217390060424805
1,63,0.04826164245605469
1,64,0.0520787239074707
1,65,0.05393481254577637
1,66,0.05623626708984375
1,67,0.058791160583496094
1,68,0.055149078369140625
1,69,0.055466651916503906
1,70,0.05298924446105957
1,71,0.05360841751098633
1,72,0.05593395233154297
1,73,0.05043315887451172
1,74,0.0588681697845459
1,75,0.054288387298583984
1,76,0.0554356575012207
1,77,0.055266618728637695
1,78,0.05091214179992676
1,79,0.0561065673828125
1,80,0.050717830657958984
1,81,0.05391526222229004
1,82,0.05680346488952637
1,83,0.05424070358276367
1,84,0.05106234550476074
1,85,0.05729842185974121
1,86,0.05375957489013672
1,87,0.05602097511291504
1,88,0.05301237106323242
1,89,0.05804014205932617
1,90,0.05092430114746094
1,91,0.05328035354614258
1,92,0.05058431625366211
1,93,0.055994510650634766
1,94,0.05417227745056152
1,95,0.057363271713256836
1,96,0.05216407775878906
1,97,0.06292009353637695
1,98,0.052812814712524414
1,99,0.05797386169433594
1,100,0.0570681095123291
2,1,0.05474090576171875
2,2,0.05846095085144043
2,3,0.05672097206115723
2,4,0.05229043960571289
2,5,0.05644798278808594
2,6,0.06453752517700195
2,7,0.05509781837463379
2,8,0.054060935974121094
2,9,0.05115795135498047
2,10,0.05939531326293945
2,11,0.05502629280090332
2,12,0.05584216117858887
2,13,0.057018280029296875
2,14,0.05999279022216797
2,15,0.05133247375488281
2,16,0.055986881256103516
2,17,0.05614638328552246
2,18,0.056520700454711914
2,19,0.0500333309173584
2,20,0.05212140083312988
2,21,0.05391860008239746
2,22,0.0559537410736084
2,23,0.05957746505737305
2,24,0.057950496673583984
2,25,0.051860809326171875
2,26,0.05425214767456055
2,27,0.054167985916137695
2,28,0.05092358589172363
2,29,0.05085349082946777
2,30,0.05625557899475098
2,31,0.05688595771789551
2,32,0.05638623237609863
2,33,0.055057525634765625
2,34,0.05248832702636719
2,35,0.05616641044616699
2,36,0.058827877044677734
2,37,0.05738091468811035
2,38,0.057927608489990234
2,39,0.05914950370788574
2,40,0.055333614349365234
2,41,0.05311417579650879
2,42,0.05699443817138672
2,43,0.055877685546875
2,44,0.06716489791870117
2,45,0.05952858924865723
2,46,0.061412811279296875
2,47,0.05320620536804199
2,48,0.07039952278137207
2,49,0.05888485908508301
2,50,0.054110050201416016
2,51,0.05253458023071289
2,52,0.05364060401916504
2,53,0.05102872848510742
2,54,0.05317854881286621
2,55,0.055216073989868164
2,56,0.056389570236206055
2,57,0.05162239074707031
2,58,0.05074763298034668
2,59,0.059482574462890625
2,60,0.05692648887634277
2,61,0.05667471885681152
2,62,0.05800938606262207
2,63,0.05505108833312988
2,64,0.05499386787414551
2,65,0.057016849517822266
2,66,0.053157806396484375
2,67,0.05249381065368652
2,68,0.052491188049316406
2,69,0.05514669418334961
2,70,0.05392742156982422
2,71,0.05570268630981445
2,72,0.057242631912231445
2,73,0.05374956130981445
2,74,0.06365036964416504
2,75,0.06571340560913086
2,76,0.0510404109954834
2,77,0.05441927909851074
2,78,0.04988527297973633
2,79,0.05308699607849121
2,80,0.0525970458984375
2,81,0.05196738243103027
2,82,0.06085348129272461
2,83,0.057251691818237305
2,84,0.05860424041748047
2,85,0.055416107177734375
2,86,0.056474924087524414
2,87,0.050600528717041016
2,88,0.05431962013244629
2,89,0.05164790153503418
2,90,0.05510902404785156
2,91,0.0565185546875
2,92,0.056604862213134766
2,93,0.06657624244689941
2,94,0.05553150177001953
2,95,0.0585176944732666
2,96,0.05481147766113281
2,97,0.05770444869995117
2,98,0.058237552642822266
2,99,0.04976940155029297
2,100,0.05653882026672363
3,1,0.054985761642456055
3,2,0.05486297607421875
3,3,0.061469078063964844
3,4,0.05427050590515137
3,5,0.05325579643249512
3,6,0.05344438552856445
3,7,0.05237150192260742
3,8,0.05112433433532715
3,9,0.05291032791137695
3,10,0.050904273986816406
3,11,0.05681014060974121
3,12,0.05309700965881348
3,13,0.049303293228149414
3,14,0.05108022689819336
3,15,0.05177426338195801
3,16,0.054059505462646484
3,17,0.05218005180358887
3,18,0.05154824256896973
3,19,0.05563640594482422
3,20,0.05624961853027344
3,21,0.06812381744384766
3,22,0.051366567611694336
3,23,0.08896112442016602
3,24,0.06236886978149414
3,25,0.0529782772064209
3,26,0.05889153480529785
3,27,0.06360173225402832
3,28,0.06247711181640625
3,29,0.08282136917114258
3,30,0.060127973556518555
3,31,0.11030197143554688
3,32,0.06970953941345215
3,33,0.07668113708496094
3,34,0.06697487831115723
3,35,0.0821080207824707
3,36,0.07508254051208496
3,37,0.08898019790649414
3,38,0.07210588455200195
3,39,0.07774114608764648
3,40,0.07284164428710938
3,41,0.08763575553894043
3,42,0.07132935523986816
3,43,0.06600046157836914
3,44,0.0697164535522461
3,45,0.057091712951660156
3,46,0.06043052673339844
3,47,0.065704345703125
3,48,0.0682833194732666
3,49,0.06015324592590332
3,50,0.06338191032409668
3,51,0.06003618240356445
3,52,0.06175971031188965
3,53,0.0702822208404541
3,54,0.06882023811340332
3,55,0.06284880638122559
3,56,0.06541085243225098
3,57,0.06809639930725098
3,58,0.07184839248657227
3,59,0.08041858673095703
3,60,0.07158446311950684
3,61,0.07181739807128906
3,62,0.06583046913146973
3,63,0.07293701171875
3,64,0.11676287651062012
3,65,0.058724403381347656
3,66,0.058771371841430664
3,67,0.05666637420654297
3,68,0.05489659309387207
3,69,0.05133223533630371
3,70,0.05074429512023926
3,71,0.05485224723815918
3,72,0.053977251052856445
3,73,0.06002664566040039
3,74,0.05315828323364258
3,75,0.05513930320739746
3,76,0.050694942474365234
3,77,0.05865073204040527
3,78,0.056318044662475586
3,79,0.05251479148864746
3,80,0.057071685791015625
3,81,0.056749582290649414
3,82,0.057517051696777344
3,83,0.05731511116027832
3,84,0.05521416664123535
3,85,0.0557713508605957
3,86,0.05537152290344238
3,87,0.05579423904418945
3,88,0.05409646034240723
3,89,0.05966496467590332
3,90,0.05544161796569824
3,91,0.05917072296142578
3,92,0.055516719818115234
3,93,0.05221199989318848
3,94,0.057692527770996094
3,95,0.053757429122924805
3,96,0.05522036552429199
3,97,0.053691864013671875
3,98,0.05603790283203125
3,99,0.054204702377319336
3,100,0.05105018615722656
4,1,0.053524017333984375
4,2,0.049086570739746094
4,3,0.054308176040649414
4,4,0.051590681076049805
4,5,0.05286574363708496
4,6,0.05165386199951172
4,7,0.05130624771118164
4,8,0.05875134468078613
4,9,0.05607175827026367
4,10,0.05521512031555176
4,11,0.056325674057006836
4,12,0.05865931510925293
4,13,0.060088396072387695
4,14,0.056295156478881836
4,15,0.055048465728759766
4,16,0.05100512504577637
4,17,0.05238151550292969
4,18,0.05744576454162598
4,19,0.0530550479888916
4,20,0.055467844009399414
4,21,0.05270099639892578
4,22,0.05701947212219238
4,23,0.05289506912231445
4,24,0.05648207664489746
4,25,0.05218696594238281
4,26,0.06781125068664551
4,27,0.05855274200439453
4,28,0.05311107635498047
4,29,0.053537607192993164
4,30,0.05504560470581055
4,31,0.053025245666503906
4,32,0.052596092224121094
4,33,0.058248281478881836
4,34,0.05694007873535156
4,35,0.05430459976196289
4,36,0.04962468147277832
4,37,0.05486726760864258
4,38,0.05235123634338379
4,39,0.053907155990600586
4,40,0.05282139778137207
4,41,0.05521655082702637
4,42,0.05898714065551758
4,43,0.055574893951416016
4,44,0.04939842224121094
4,45,0.0570065975189209
4,46,0.055983781814575195
4,47,0.05201864242553711
4,48,0.053609609603881836
4,49,0.05711770057678223
4,50,0.05938434600830078
4,51,0.05454111099243164
4,52,0.0574643611907959
4,53,0.05613827705383301
4,54,0.058759212493896484
4,55,0.05751514434814453
4,56,0.05261564254760742
4,57,0.05751967430114746
4,58,0.059266090393066406
4,59,0.056119441986083984
4,60,0.05342817306518555
4,61,0.0566861629486084
4,62,0.05418515205383301
4,63,0.056594133377075195
4,64,0.05774283409118652
4,65,0.05769085884094238
4,66,0.05290842056274414
4,67,0.051946401596069336
4,68,0.057179927825927734
4,69,0.056653499603271484
4,70,0.05509781837463379
4,71,0.058365583419799805
4,72,0.05364513397216797
4,73,0.05590629577636719
4,74,0.052266836166381836
4,75,0.052568674087524414
4,76,0.0522768497467041
4,77,0.06791281700134277
4,78,0.05153536796569824
4,79,0.05637860298156738
4,80,0.053864479064941406
4,81,0.05117535591125488
4,82,0.054770708084106445
4,83,0.054764747619628906
4,84,0.05163455009460449
4,85,0.05981636047363281
4,86,0.05245471000671387
4,87,0.05613231658935547
4,88,0.053594350814819336
4,89,0.05185365676879883
4,90,0.053472280502319336
4,91,0.05814528465270996
4,92,0.055669307708740234
4,93,0.051423072814941406
4,94,0.051622867584228516
4,95,0.055469512939453125
4,96,0.05236411094665527
4,97,0.05725407600402832
4,98,0.0583348274230957
4,99,0.049500465393066406
4,100,0.051177024841308594
